Algorithm,ExecuteTime,ExploredCells,TotalPath,ShortestPath,Length,MapType,Success
depthFirst,0.0,13,13,14,10,BaseMap,True
breadthFirst,0.0,34,34,8,10,BaseMap,True
bestFirst,0.0009980201721191406,12,12,13,10,BaseMap,True
greedyBestFirst,0.0,8,8,9,10,BaseMap,True
AStar,0.0010232925415039062,8,8,9,10,BaseMap,True
depthFirst,0.0,12,12,13,10,ParabolicMap,True
breadthFirst,0.000972747802734375,73,73,7,10,ParabolicMap,True
bestFirst,0.0010149478912353516,12,12,13,10,ParabolicMap,True
greedyBestFirst,0.0,9,9,8,10,ParabolicMap,True
AStar,0.0,9,9,8,10,ParabolicMap,True
depthFirst,0.0009851455688476562,10,21,22,10,VaryingMap,True
breadthFirst,0.0010066032409667969,89,175,21,10,VaryingMap,True
bestFirst,0.0009944438934326172,43,43,15,10,VaryingMap,True
greedyBestFirst,0.0,11,25,22,10,VaryingMap,True
AStar,0.001529693603515625,17,24,22,10,VaryingMap,True
depthFirst,0.0,8,8,8,10,LimitMap,True
breadthFirst,0.0,33,33,8,10,LimitMap,True
bestFirst,0.0,17,17,15,10,LimitMap,True
greedyBestFirst,0.0,8,8,8,10,LimitMap,True
AStar,0.0,8,8,8,10,LimitMap,True
depthFirst,0.0,87,170,27,10,IdealMap,True
breadthFirst,0.0010001659393310547,124,241,16,10,IdealMap,True
bestFirst,0.0009970664978027344,97,140,15,10,IdealMap,True
greedyBestFirst,0.0,7,14,17,10,IdealMap,True
AStar,0.0,7,12,15,10,IdealMap,True
depthFirst,0.0009951591491699219,14,14,14,10,BaseMap,True
breadthFirst,0.0,46,46,9,10,BaseMap,True
bestFirst,0.0,14,14,15,10,BaseMap,True
greedyBestFirst,0.0,10,10,10,10,BaseMap,True
AStar,0.0,10,10,10,10,BaseMap,True
depthFirst,0.0009989738464355469,15,15,16,10,ParabolicMap,True
breadthFirst,0.002001523971557617,109,109,9,10,ParabolicMap,True
bestFirst,0.0,15,15,16,10,ParabolicMap,True
greedyBestFirst,0.0015063285827636719,15,15,13,10,ParabolicMap,True
AStar,0.0013811588287353516,15,15,13,10,ParabolicMap,True
depthFirst,0.0,5,8,11,10,VaryingMap,True
breadthFirst,0.0,49,94,15,10,VaryingMap,True
bestFirst,0.0,17,17,7,10,VaryingMap,True
greedyBestFirst,0.0014083385467529297,6,11,14,10,VaryingMap,True
AStar,0.0,9,12,13,10,VaryingMap,True
depthFirst,0.0,7,7,7,10,LimitMap,True
breadthFirst,0.0012309551239013672,25,25,6,10,LimitMap,True
bestFirst,0.0,10,10,7,10,LimitMap,True
greedyBestFirst,0.0,7,7,8,10,LimitMap,True
AStar,0.0,7,7,8,10,LimitMap,True
depthFirst,0.0,8,15,16,10,IdealMap,True
breadthFirst,0.0012395381927490234,165,315,22,10,IdealMap,True
bestFirst,0.002457141876220703,157,253,16,10,IdealMap,True
greedyBestFirst,0.0,9,21,19,10,IdealMap,True
AStar,0.0,12,21,17,10,IdealMap,True
depthFirst,0.0009989738464355469,17,17,17,10,BaseMap,True
breadthFirst,0.0,57,57,10,10,BaseMap,True
bestFirst,0.0,17,17,17,10,BaseMap,True
greedyBestFirst,0.0,12,12,12,10,BaseMap,True
AStar,0.0,12,12,12,10,BaseMap,True
depthFirst,8.559226989746094e-05,14,14,15,10,ParabolicMap,True
breadthFirst,0.002124309539794922,124,124,9,10,ParabolicMap,True
bestFirst,0.0010666847229003906,14,14,15,10,ParabolicMap,True
greedyBestFirst,0.0010340213775634766,12,12,10,10,ParabolicMap,True
AStar,0.0009987354278564453,12,12,10,10,ParabolicMap,True
depthFirst,0.0009965896606445312,5,8,10,10,VaryingMap,True
breadthFirst,0.0,41,82,13,10,VaryingMap,True
bestFirst,0.0,19,19,8,10,VaryingMap,True
greedyBestFirst,0.0015063285827636719,5,9,12,10,VaryingMap,True
AStar,0.0,8,11,11,10,VaryingMap,True
depthFirst,0.0,12,12,12,10,LimitMap,True
breadthFirst,0.0,40,40,10,10,LimitMap,True
bestFirst,0.0,12,12,12,10,LimitMap,True
greedyBestFirst,0.0,9,9,10,10,LimitMap,True
AStar,0.0010097026824951172,9,9,10,10,LimitMap,True
depthFirst,0.0010044574737548828,68,138,55,10,IdealMap,True
breadthFirst,0.00099945068359375,182,361,21,10,IdealMap,True
bestFirst,0.0,49,63,14,10,IdealMap,True
greedyBestFirst,0.0010707378387451172,10,22,24,10,IdealMap,True
AStar,0.0,12,21,19,10,IdealMap,True
depthFirst,0.0,13,13,13,10,BaseMap,True
breadthFirst,0.0,37,37,8,10,BaseMap,True
bestFirst,0.0,13,13,13,10,BaseMap,True
greedyBestFirst,0.0010018348693847656,8,8,8,10,BaseMap,True
AStar,0.0,8,8,8,10,BaseMap,True
depthFirst,0.0010001659393310547,14,14,15,10,ParabolicMap,True
breadthFirst,0.0020737648010253906,94,94,8,10,ParabolicMap,True
bestFirst,0.0,14,14,15,10,ParabolicMap,True
greedyBestFirst,0.0020127296447753906,14,14,13,10,ParabolicMap,True
AStar,0.0015027523040771484,14,14,13,10,ParabolicMap,True
depthFirst,0.0,6,8,11,10,VaryingMap,True
breadthFirst,0.0,40,73,13,10,VaryingMap,True
bestFirst,0.0010993480682373047,21,21,8,10,VaryingMap,True
greedyBestFirst,0.0,8,13,13,10,VaryingMap,True
AStar,0.0010068416595458984,10,12,10,10,VaryingMap,True
depthFirst,0.0,19,19,17,10,LimitMap,True
breadthFirst,0.0,25,25,7,10,LimitMap,True
bestFirst,0.0,6,6,7,10,LimitMap,True
greedyBestFirst,0.0,6,6,7,10,LimitMap,True
AStar,0.0,6,6,7,10,LimitMap,True
depthFirst,0.0010058879852294922,8,13,14,10,IdealMap,True
breadthFirst,0.0009965896606445312,159,291,16,10,IdealMap,True
bestFirst,0.0010638236999511719,65,71,11,10,IdealMap,True
greedyBestFirst,0.0,9,18,19,10,IdealMap,True
AStar,0.0,8,13,14,10,IdealMap,True
depthFirst,0.0009965896606445312,14,14,14,10,BaseMap,True
breadthFirst,0.0,43,43,9,10,BaseMap,True
bestFirst,0.0,14,14,13,10,BaseMap,True
greedyBestFirst,0.000997781753540039,9,9,9,10,BaseMap,True
AStar,0.0023093223571777344,9,9,9,10,BaseMap,True
depthFirst,0.0,12,12,13,10,ParabolicMap,True
breadthFirst,0.002011537551879883,83,83,7,10,ParabolicMap,True
bestFirst,0.0,12,12,13,10,ParabolicMap,True
greedyBestFirst,0.000997781753540039,15,15,8,10,ParabolicMap,True
AStar,0.0009999275207519531,15,15,8,10,ParabolicMap,True
depthFirst,0.0,7,15,16,10,VaryingMap,True
breadthFirst,0.0010056495666503906,59,112,18,10,VaryingMap,True
bestFirst,0.0,27,27,11,10,VaryingMap,True
greedyBestFirst,0.0,7,11,12,10,VaryingMap,True
AStar,0.0,9,13,12,10,VaryingMap,True
depthFirst,0.0,6,6,7,10,LimitMap,True
breadthFirst,0.0,27,27,7,10,LimitMap,True
bestFirst,0.0,8,8,9,10,LimitMap,True
greedyBestFirst,0.0,6,6,7,10,LimitMap,True
AStar,0.0,6,6,7,10,LimitMap,True
depthFirst,0.0,9,21,23,10,IdealMap,True
breadthFirst,0.0020551681518554688,120,233,15,10,IdealMap,True
bestFirst,0.0015411376953125,93,116,12,10,IdealMap,True
greedyBestFirst,0.0,6,11,14,10,IdealMap,True
AStar,0.0,6,11,14,10,IdealMap,True
depthFirst,0.0,17,17,16,10,BaseMap,True
breadthFirst,0.0009317398071289062,52,52,10,10,BaseMap,True
bestFirst,0.0,17,17,16,10,BaseMap,True
greedyBestFirst,0.0012104511260986328,12,12,11,10,BaseMap,True
AStar,0.0,12,12,11,10,BaseMap,True
depthFirst,0.0009961128234863281,16,16,17,10,ParabolicMap,True
breadthFirst,0.002003908157348633,129,129,10,10,ParabolicMap,True
bestFirst,0.0005130767822265625,16,16,17,10,ParabolicMap,True
greedyBestFirst,0.0,13,13,13,10,ParabolicMap,True
AStar,0.001026153564453125,13,13,13,10,ParabolicMap,True
depthFirst,0.0,7,14,15,10,VaryingMap,True
breadthFirst,0.0009882450103759766,53,98,12,10,VaryingMap,True
bestFirst,0.0009944438934326172,23,23,7,10,VaryingMap,True
greedyBestFirst,0.0,7,10,11,10,VaryingMap,True
AStar,0.0,7,9,10,10,VaryingMap,True
depthFirst,0.0,6,6,6,10,LimitMap,True
breadthFirst,0.0,24,24,6,10,LimitMap,True
bestFirst,0.0010027885437011719,9,9,9,10,LimitMap,True
greedyBestFirst,0.0,6,6,6,10,LimitMap,True
AStar,0.0,6,6,6,10,LimitMap,True
depthFirst,0.0,20,39,26,10,IdealMap,True
breadthFirst,0.001590728759765625,118,224,15,10,IdealMap,True
bestFirst,0.001165151596069336,82,103,14,10,IdealMap,True
greedyBestFirst,0.0,9,11,14,10,IdealMap,True
AStar,0.0,9,11,14,10,IdealMap,True
depthFirst,0.0010459423065185547,17,17,16,10,BaseMap,True
breadthFirst,0.0,45,45,10,10,BaseMap,True
bestFirst,0.001013040542602539,17,17,16,10,BaseMap,True
greedyBestFirst,0.0,9,9,10,10,BaseMap,True
AStar,0.0,9,9,10,10,BaseMap,True
depthFirst,0.0,16,16,17,10,ParabolicMap,True
breadthFirst,0.0020143985748291016,109,109,9,10,ParabolicMap,True
bestFirst,0.0010099411010742188,16,16,17,10,ParabolicMap,True
greedyBestFirst,0.001107931137084961,16,16,12,10,ParabolicMap,True
AStar,0.0010342597961425781,16,16,12,10,ParabolicMap,True
depthFirst,0.0,10,16,19,10,VaryingMap,True
breadthFirst,0.0009953975677490234,91,175,21,10,VaryingMap,True
bestFirst,0.0015871524810791016,38,38,11,10,VaryingMap,True
greedyBestFirst,0.0,11,19,18,10,VaryingMap,True
AStar,0.001009225845336914,11,17,18,10,VaryingMap,True
depthFirst,0.0,10,10,9,10,LimitMap,True
breadthFirst,0.0,33,33,8,10,LimitMap,True
bestFirst,0.0,12,12,10,10,LimitMap,True
greedyBestFirst,0.0,7,7,8,10,LimitMap,True
AStar,0.0010068416595458984,7,7,8,10,LimitMap,True
depthFirst,0.0,57,104,14,10,IdealMap,True
breadthFirst,0.0,71,132,9,10,IdealMap,True
bestFirst,0.0010161399841308594,23,23,7,10,IdealMap,True
greedyBestFirst,0.0,5,5,7,10,IdealMap,True
AStar,0.0,5,5,7,10,IdealMap,True
depthFirst,0.0,12,12,11,10,BaseMap,True
breadthFirst,0.0013394355773925781,37,37,8,10,BaseMap,True
bestFirst,0.0,12,12,12,10,BaseMap,True
greedyBestFirst,0.0010027885437011719,8,8,8,10,BaseMap,True
AStar,0.0,8,8,8,10,BaseMap,True
depthFirst,0.0009987354278564453,12,12,13,10,ParabolicMap,True
breadthFirst,0.0015027523040771484,96,96,8,10,ParabolicMap,True
bestFirst,0.0,12,12,13,10,ParabolicMap,True
greedyBestFirst,0.0010068416595458984,12,12,12,10,ParabolicMap,True
AStar,0.0010609626770019531,12,12,12,10,ParabolicMap,True
depthFirst,0.0,9,14,16,10,VaryingMap,True
breadthFirst,0.0010385513305664062,79,156,19,10,VaryingMap,True
bestFirst,0.0,37,37,13,10,VaryingMap,True
greedyBestFirst,0.0009965896606445312,11,21,20,10,VaryingMap,True
AStar,0.0,12,15,16,10,VaryingMap,True
depthFirst,0.0,17,17,14,10,LimitMap,True
breadthFirst,0.0,32,32,8,10,LimitMap,True
bestFirst,0.0,18,18,15,10,LimitMap,True
greedyBestFirst,0.0,7,7,8,10,LimitMap,True
AStar,0.0,7,7,8,10,LimitMap,True
depthFirst,0.0015075206756591797,37,71,14,10,IdealMap,True
breadthFirst,0.0,79,162,11,10,IdealMap,True
bestFirst,0.0,31,41,9,10,IdealMap,True
greedyBestFirst,0.0013766288757324219,6,13,12,10,IdealMap,True
AStar,0.0,5,7,9,10,IdealMap,True
depthFirst,0.0,7,7,8,10,BaseMap,True
breadthFirst,0.0,28,28,6,10,BaseMap,True
bestFirst,0.0,9,9,10,10,BaseMap,True
greedyBestFirst,0.0013959407806396484,7,7,8,10,BaseMap,True
AStar,0.0,7,7,8,10,BaseMap,True
depthFirst,0.0,10,10,11,10,ParabolicMap,True
breadthFirst,0.002025127410888672,74,74,7,10,ParabolicMap,True
bestFirst,0.0,10,10,11,10,ParabolicMap,True
greedyBestFirst,0.0,10,10,9,10,ParabolicMap,True
AStar,0.0,10,10,9,10,ParabolicMap,True
depthFirst,0.0010170936584472656,7,14,16,10,VaryingMap,True
breadthFirst,0.0,53,105,14,10,VaryingMap,True
bestFirst,0.0009965896606445312,24,24,8,10,VaryingMap,True
greedyBestFirst,0.0,9,15,15,10,VaryingMap,True
AStar,0.001001119613647461,9,10,11,10,VaryingMap,True
depthFirst,6.580352783203125e-05,13,13,13,10,LimitMap,True
breadthFirst,0.0,36,36,9,10,LimitMap,True
bestFirst,0.0,12,12,13,10,LimitMap,True
greedyBestFirst,0.0,9,9,9,10,LimitMap,True
AStar,0.0,9,9,9,10,LimitMap,True
depthFirst,0.0,28,58,36,10,IdealMap,True
breadthFirst,0.0015316009521484375,145,283,17,10,IdealMap,True
bestFirst,0.0010077953338623047,64,77,15,10,IdealMap,True
greedyBestFirst,0.0,8,11,14,10,IdealMap,True
AStar,0.0,11,14,14,10,IdealMap,True
depthFirst,0.0010113716125488281,13,13,14,10,BaseMap,True
breadthFirst,0.0,46,46,9,10,BaseMap,True
bestFirst,0.0013799667358398438,13,13,14,10,BaseMap,True
greedyBestFirst,0.0,8,8,9,10,BaseMap,True
AStar,0.0,8,8,9,10,BaseMap,True
depthFirst,0.002008199691772461,18,18,19,10,ParabolicMap,True
breadthFirst,0.0030853748321533203,132,132,10,10,ParabolicMap,True
bestFirst,0.0011081695556640625,18,18,19,10,ParabolicMap,True
greedyBestFirst,0.0,12,12,11,10,ParabolicMap,True
AStar,0.0015919208526611328,12,12,11,10,ParabolicMap,True
depthFirst,0.0010309219360351562,9,14,16,10,VaryingMap,True
breadthFirst,0.0009987354278564453,94,187,24,10,VaryingMap,True
bestFirst,0.0,37,37,11,10,VaryingMap,True
greedyBestFirst,0.0010001659393310547,10,17,18,10,VaryingMap,True
AStar,0.0,12,17,17,10,VaryingMap,True
depthFirst,0.0,13,13,13,10,LimitMap,True
breadthFirst,0.0,41,41,10,10,LimitMap,True
bestFirst,0.0,13,13,13,10,LimitMap,True
greedyBestFirst,0.0009992122650146484,10,10,11,10,LimitMap,True
AStar,0.0,10,10,11,10,LimitMap,True
depthFirst,0.0,9,18,21,10,IdealMap,True
breadthFirst,0.0011773109436035156,125,254,12,10,IdealMap,True
bestFirst,0.002008676528930664,95,137,13,10,IdealMap,True
greedyBestFirst,0.0,10,22,15,10,IdealMap,True
AStar,0.0,10,18,15,10,IdealMap,True
depthFirst,0.0,18,18,19,10,BaseMap,True
breadthFirst,0.00124359130859375,49,49,10,10,BaseMap,True
bestFirst,0.0010862350463867188,18,18,17,10,BaseMap,True
greedyBestFirst,0.0005092620849609375,9,9,10,10,BaseMap,True
AStar,0.0,9,9,10,10,BaseMap,True
depthFirst,0.0,14,14,15,10,ParabolicMap,True
breadthFirst,0.0020186901092529297,92,92,8,10,ParabolicMap,True
bestFirst,0.000591278076171875,14,14,15,10,ParabolicMap,True
greedyBestFirst,0.00102996826171875,13,13,11,10,ParabolicMap,True
AStar,0.0009987354278564453,13,13,11,10,ParabolicMap,True
depthFirst,0.0010025501251220703,8,16,18,10,VaryingMap,True
breadthFirst,0.0,78,151,15,10,VaryingMap,True
bestFirst,0.0009975433349609375,31,31,11,10,VaryingMap,True
greedyBestFirst,0.0,12,21,23,10,VaryingMap,True
AStar,0.0010149478912353516,13,18,18,10,VaryingMap,True
depthFirst,0.0,14,14,15,10,LimitMap,True
breadthFirst,0.0,40,40,10,10,LimitMap,True
bestFirst,0.0,12,12,12,10,LimitMap,True
greedyBestFirst,0.0,14,14,12,10,LimitMap,True
AStar,0.0,14,14,12,10,LimitMap,True
depthFirst,0.0,8,18,20,10,IdealMap,True
breadthFirst,0.0020325183868408203,144,291,16,10,IdealMap,True
bestFirst,0.0010809898376464844,99,157,12,10,IdealMap,True
greedyBestFirst,0.0,7,14,16,10,IdealMap,True
AStar,0.0,11,14,12,10,IdealMap,True
depthFirst,0.0,16,16,16,10,BaseMap,True
breadthFirst,0.0012898445129394531,47,47,10,10,BaseMap,True
bestFirst,0.0,17,17,18,10,BaseMap,True
greedyBestFirst,0.001508951187133789,14,14,11,10,BaseMap,True
AStar,0.001047372817993164,14,14,11,10,BaseMap,True
depthFirst,0.0011029243469238281,11,11,12,10,ParabolicMap,True
breadthFirst,0.0010402202606201172,77,77,7,10,ParabolicMap,True
bestFirst,0.0,11,11,12,10,ParabolicMap,True
greedyBestFirst,0.0,10,10,10,10,ParabolicMap,True
AStar,0.0009999275207519531,10,10,10,10,ParabolicMap,True
depthFirst,0.0,5,10,11,10,VaryingMap,True
breadthFirst,0.0,41,77,14,10,VaryingMap,True
bestFirst,0.0009975433349609375,25,30,11,10,VaryingMap,True
greedyBestFirst,0.0,5,10,11,10,VaryingMap,True
AStar,0.0,11,15,12,10,VaryingMap,True
depthFirst,0.0,5,5,6,10,LimitMap,True
breadthFirst,0.0010030269622802734,20,20,6,10,LimitMap,True
bestFirst,0.0,5,5,6,10,LimitMap,True
greedyBestFirst,0.0,7,7,6,10,LimitMap,True
AStar,0.0,7,7,6,10,LimitMap,True
depthFirst,0.0,15,34,35,10,IdealMap,True
breadthFirst,0.0010037422180175781,128,252,14,10,IdealMap,True
bestFirst,0.0,63,86,14,10,IdealMap,True
greedyBestFirst,0.0,10,17,16,10,IdealMap,True
AStar,0.0015070438385009766,11,17,14,10,IdealMap,True
depthFirst,0.0016651153564453125,12,12,13,10,BaseMap,True
breadthFirst,0.00095367431640625,37,37,7,10,BaseMap,True
bestFirst,0.0,12,12,13,10,BaseMap,True
greedyBestFirst,0.0,7,7,8,10,BaseMap,True
AStar,0.0013134479522705078,7,7,8,10,BaseMap,True
depthFirst,0.0010738372802734375,19,19,19,10,ParabolicMap,True
breadthFirst,0.002012968063354492,127,127,10,10,ParabolicMap,True
bestFirst,0.00099945068359375,19,19,19,10,ParabolicMap,True
greedyBestFirst,0.001003265380859375,18,18,15,10,ParabolicMap,True
AStar,0.0015065670013427734,18,18,15,10,ParabolicMap,True
depthFirst,0.0,7,14,15,10,VaryingMap,True
breadthFirst,0.001352071762084961,52,99,14,10,VaryingMap,True
bestFirst,0.0,20,20,9,10,VaryingMap,True
greedyBestFirst,0.0010116100311279297,7,15,18,10,VaryingMap,True
AStar,0.0,11,12,10,10,VaryingMap,True
depthFirst,0.000997781753540039,25,25,12,10,LimitMap,True
breadthFirst,0.0,23,23,6,10,LimitMap,True
bestFirst,0.0,7,7,6,10,LimitMap,True
greedyBestFirst,0.0,6,6,6,10,LimitMap,True
AStar,0.0,6,6,6,10,LimitMap,True
depthFirst,0.0,9,12,13,10,IdealMap,True
breadthFirst,0.0,64,127,7,10,IdealMap,True
bestFirst,0.0010378360748291016,20,20,8,10,IdealMap,True
greedyBestFirst,0.0,8,9,10,10,IdealMap,True
AStar,0.0,8,9,10,10,IdealMap,True
depthFirst,0.001068115234375,11,11,11,10,BaseMap,True
breadthFirst,0.0,34,34,7,10,BaseMap,True
bestFirst,0.0,10,10,11,10,BaseMap,True
greedyBestFirst,0.0010352134704589844,7,7,8,10,BaseMap,True
AStar,0.0,7,7,8,10,BaseMap,True
depthFirst,0.0010004043579101562,14,14,15,10,ParabolicMap,True
breadthFirst,0.0020024776458740234,96,96,8,10,ParabolicMap,True
bestFirst,0.0014276504516601562,14,14,15,10,ParabolicMap,True
greedyBestFirst,0.000997304916381836,19,19,13,10,ParabolicMap,True
AStar,0.003483295440673828,19,19,13,10,ParabolicMap,True
depthFirst,0.0,7,15,16,10,VaryingMap,True
breadthFirst,0.001009225845336914,66,127,13,10,VaryingMap,True
bestFirst,0.0010004043579101562,31,31,13,10,VaryingMap,True
greedyBestFirst,0.0,8,16,18,10,VaryingMap,True
AStar,0.0006330013275146484,10,14,13,10,VaryingMap,True
depthFirst,0.0,26,26,17,10,LimitMap,True
breadthFirst,0.0,41,41,10,10,LimitMap,True
bestFirst,0.0,22,22,19,10,LimitMap,True
greedyBestFirst,0.0,10,10,10,10,LimitMap,True
AStar,0.0,10,10,10,10,LimitMap,True
depthFirst,0.0,96,186,75,10,IdealMap,True
breadthFirst,0.001001119613647461,100,194,16,10,IdealMap,True
bestFirst,0.0,28,29,10,10,IdealMap,True
greedyBestFirst,0.0,7,12,13,10,IdealMap,True
AStar,0.0,6,7,10,10,IdealMap,True
depthFirst,0.0,7,7,8,10,BaseMap,True
breadthFirst,0.0015079975128173828,24,24,6,10,BaseMap,True
bestFirst,0.0,8,8,9,10,BaseMap,True
greedyBestFirst,0.0,6,6,7,10,BaseMap,True
AStar,0.0,6,6,7,10,BaseMap,True
depthFirst,0.0010073184967041016,16,16,17,10,ParabolicMap,True
breadthFirst,0.0020041465759277344,129,129,10,10,ParabolicMap,True
bestFirst,0.0009999275207519531,16,16,17,10,ParabolicMap,True
greedyBestFirst,0.0,14,14,13,10,ParabolicMap,True
AStar,0.0010018348693847656,14,14,13,10,ParabolicMap,True
depthFirst,0.0,5,10,12,10,VaryingMap,True
breadthFirst,0.0010569095611572266,40,78,14,10,VaryingMap,True
bestFirst,0.0,30,40,9,10,VaryingMap,True
greedyBestFirst,0.0,7,14,15,10,VaryingMap,True
AStar,0.0,9,16,16,10,VaryingMap,True
depthFirst,0.0012619495391845703,25,25,15,10,LimitMap,True
breadthFirst,0.0,44,44,10,10,LimitMap,True
bestFirst,0.0,28,28,12,10,LimitMap,True
greedyBestFirst,0.0,10,10,10,10,LimitMap,True
AStar,0.0,10,10,10,10,LimitMap,True
depthFirst,0.0,9,17,18,10,IdealMap,True
breadthFirst,0.0015106201171875,86,167,11,10,IdealMap,True
bestFirst,0.0,19,19,9,10,IdealMap,True
greedyBestFirst,0.0010666847229003906,8,17,15,10,IdealMap,True
AStar,0.0,6,10,11,10,IdealMap,True
depthFirst,0.0,18,18,17,10,BaseMap,True
breadthFirst,0.00128173828125,47,47,10,10,BaseMap,True
bestFirst,0.0005080699920654297,16,16,16,10,BaseMap,True
greedyBestFirst,0.0,10,10,10,10,BaseMap,True
AStar,0.0,10,10,10,10,BaseMap,True
depthFirst,0.002292156219482422,17,17,18,10,ParabolicMap,True
breadthFirst,0.001998424530029297,141,141,10,10,ParabolicMap,True
bestFirst,0.0010027885437011719,17,17,18,10,ParabolicMap,True
greedyBestFirst,0.0010113716125488281,12,12,13,10,ParabolicMap,True
AStar,0.0009856224060058594,12,12,13,10,ParabolicMap,True
depthFirst,0.0,9,18,20,10,VaryingMap,True
breadthFirst,0.0012969970703125,72,140,18,10,VaryingMap,True
bestFirst,0.0010118484497070312,35,35,14,10,VaryingMap,True
greedyBestFirst,0.0,12,19,17,10,VaryingMap,True
AStar,0.0010027885437011719,12,14,14,10,VaryingMap,True
depthFirst,0.0,7,7,6,10,LimitMap,True
breadthFirst,0.0,21,21,6,10,LimitMap,True
bestFirst,0.0,5,5,6,10,LimitMap,True
greedyBestFirst,0.0,5,5,6,10,LimitMap,True
AStar,0.0010204315185546875,5,5,6,10,LimitMap,True
depthFirst,0.0,53,102,27,10,IdealMap,True
breadthFirst,0.0009937286376953125,144,286,19,10,IdealMap,True
bestFirst,0.0,43,57,12,10,IdealMap,True
greedyBestFirst,0.0,12,24,17,10,IdealMap,True
AStar,0.0010008811950683594,10,14,16,10,IdealMap,True
depthFirst,0.0009992122650146484,13,13,12,10,BaseMap,True
breadthFirst,0.0,41,41,8,10,BaseMap,True
bestFirst,0.0,11,11,12,10,BaseMap,True
greedyBestFirst,0.0,9,9,9,10,BaseMap,True
AStar,0.0,9,9,9,10,BaseMap,True
depthFirst,0.0,16,16,17,10,ParabolicMap,True
breadthFirst,0.0015518665313720703,136,136,10,10,ParabolicMap,True
bestFirst,0.0010154247283935547,18,18,19,10,ParabolicMap,True
greedyBestFirst,0.0009992122650146484,12,12,13,10,ParabolicMap,True
AStar,0.0010852813720703125,12,12,13,10,ParabolicMap,True
depthFirst,0.0,5,8,9,10,VaryingMap,True
breadthFirst,0.0,41,75,10,10,VaryingMap,True
bestFirst,0.0008995532989501953,16,16,6,10,VaryingMap,True
greedyBestFirst,0.0,7,12,9,10,VaryingMap,True
AStar,0.0,7,8,7,10,VaryingMap,True
depthFirst,0.0,11,11,12,10,LimitMap,True
breadthFirst,0.0,37,37,9,10,LimitMap,True
bestFirst,0.0,12,12,12,10,LimitMap,True
greedyBestFirst,0.0011341571807861328,13,13,9,10,LimitMap,True
AStar,0.0,13,13,9,10,LimitMap,True
depthFirst,0.0010046958923339844,81,158,20,10,IdealMap,True
breadthFirst,0.0,66,122,13,10,IdealMap,True
bestFirst,0.0020008087158203125,75,99,10,10,IdealMap,True
greedyBestFirst,0.0,8,10,10,10,IdealMap,True
AStar,0.0,8,10,10,10,IdealMap,True
depthFirst,0.0,9,9,10,10,BaseMap,True
breadthFirst,0.0,23,23,6,10,BaseMap,True
bestFirst,0.0,10,10,11,10,BaseMap,True
greedyBestFirst,0.0,6,6,7,10,BaseMap,True
AStar,0.0010004043579101562,6,6,7,10,BaseMap,True
depthFirst,0.0,17,17,17,10,ParabolicMap,True
breadthFirst,0.0020110607147216797,108,108,9,10,ParabolicMap,True
bestFirst,0.000993967056274414,16,16,17,10,ParabolicMap,True
greedyBestFirst,0.0,13,13,12,10,ParabolicMap,True
AStar,0.0,13,13,12,10,ParabolicMap,True
depthFirst,0.0,9,17,18,10,VaryingMap,True
breadthFirst,0.0,83,162,19,10,VaryingMap,True
bestFirst,0.0016765594482421875,35,35,10,10,VaryingMap,True
greedyBestFirst,0.0,10,23,22,10,VaryingMap,True
AStar,0.0,16,20,12,10,VaryingMap,True
depthFirst,0.0,11,11,12,10,LimitMap,True
breadthFirst,0.0,35,35,8,10,LimitMap,True
bestFirst,0.0,11,11,12,10,LimitMap,True
greedyBestFirst,0.0,7,7,8,10,LimitMap,True
AStar,0.0,7,7,8,10,LimitMap,True
depthFirst,0.0,24,50,43,10,IdealMap,True
breadthFirst,0.0020017623901367188,186,360,16,10,IdealMap,True
bestFirst,0.0010030269622802734,82,116,13,10,IdealMap,True
greedyBestFirst,0.0009975433349609375,12,15,13,10,IdealMap,True
AStar,0.0,13,16,13,10,IdealMap,True
depthFirst,0.0009968280792236328,12,12,13,10,BaseMap,True
breadthFirst,0.0,41,41,8,10,BaseMap,True
bestFirst,0.0,12,12,13,10,BaseMap,True
greedyBestFirst,0.0,9,9,9,10,BaseMap,True
AStar,0.0,9,9,9,10,BaseMap,True
depthFirst,0.0010004043579101562,14,14,15,10,ParabolicMap,True
breadthFirst,0.003009319305419922,112,112,9,10,ParabolicMap,True
bestFirst,0.0010027885437011719,14,14,15,10,ParabolicMap,True
greedyBestFirst,0.001508474349975586,10,10,11,10,ParabolicMap,True
AStar,0.0011126995086669922,10,10,11,10,ParabolicMap,True
depthFirst,0.0,9,17,18,10,VaryingMap,True
breadthFirst,0.0010302066802978516,77,150,16,10,VaryingMap,True
bestFirst,0.0010039806365966797,36,36,11,10,VaryingMap,True
greedyBestFirst,0.0,12,24,24,10,VaryingMap,True
AStar,0.0009958744049072266,12,13,14,10,VaryingMap,True
depthFirst,0.0,11,11,11,10,LimitMap,True
breadthFirst,0.0,33,33,8,10,LimitMap,True
bestFirst,0.0,17,17,11,10,LimitMap,True
greedyBestFirst,0.0010013580322265625,8,8,9,10,LimitMap,True
AStar,0.0,8,8,9,10,LimitMap,True
depthFirst,0.0,5,12,14,10,IdealMap,True
breadthFirst,0.0010001659393310547,78,159,11,10,IdealMap,True
bestFirst,0.0,34,42,8,10,IdealMap,True
greedyBestFirst,0.0,6,11,11,10,IdealMap,True
